[2025-12-10 21:04:48] Geração 001 — mean=-32.2016487121582, best=-31.08547592163086, std=0.3832971453666687
[2025-12-10 21:04:55] Geração 002 — mean=-41.051273345947266, best=-23.583301544189453, std=8.670031547546387
[2025-12-10 21:05:02] Geração 003 — mean=-46.01248550415039, best=-23.583301544189453, std=9.27943229675293
[2025-12-10 21:05:09] Geração 004 — mean=-48.2811393737793, best=-23.583301544189453, std=9.880278587341309
[2025-12-10 21:05:16] Geração 005 — mean=-49.74368667602539, best=-23.583301544189453, std=9.52116584777832
[2025-12-10 21:05:23] Geração 006 — mean=-52.12512969970703, best=-23.583301544189453, std=10.072315216064453
[2025-12-10 21:05:30] Geração 007 — mean=-54.570770263671875, best=-23.583301544189453, std=10.8833646774292
[2025-12-10 21:05:36] Geração 008 — mean=-54.87230682373047, best=-23.583301544189453, std=10.658829689025879
[2025-12-10 21:05:43] Geração 009 — mean=-55.1558837890625, best=-23.583301544189453, std=11.185346603393555
[2025-12-10 21:05:50] Geração 010 — mean=-55.792484283447266, best=-23.583301544189453, std=11.955084800720215
[2025-12-10 21:05:57] Geração 011 — mean=-55.94171142578125, best=-23.583301544189453, std=11.626692771911621
[2025-12-10 21:06:04] Geração 012 — mean=-55.45753860473633, best=-23.583301544189453, std=11.589827537536621
[2025-12-10 21:06:11] Geração 013 — mean=-55.348167419433594, best=-23.583301544189453, std=10.758100509643555
[2025-12-10 21:06:17] Geração 014 — mean=-55.06106948852539, best=-23.329435348510742, std=11.64797306060791
[2025-12-10 21:06:24] Geração 015 — mean=-54.807823181152344, best=-23.329435348510742, std=11.052851676940918
[2025-12-10 21:06:32] Geração 016 — mean=-54.339141845703125, best=-23.329435348510742, std=11.68211555480957
[2025-12-10 21:06:39] Geração 017 — mean=-54.62044906616211, best=-23.329435348510742, std=10.622017860412598
[2025-12-10 21:06:45] Geração 018 — mean=-54.72445297241211, best=-23.329435348510742, std=10.33410358428955
[2025-12-10 21:06:52] Geração 019 — mean=-54.72846984863281, best=-23.329435348510742, std=12.002111434936523
[2025-12-10 21:06:59] Geração 020 — mean=-54.4705924987793, best=-23.329435348510742, std=10.8915433883667
[2025-12-10 21:07:06] Geração 021 — mean=-54.435176849365234, best=-23.329435348510742, std=10.329174041748047
[2025-12-10 21:07:13] Geração 022 — mean=-55.29481506347656, best=-23.329435348510742, std=9.998299598693848
[2025-12-10 21:07:19] Geração 023 — mean=-56.59379959106445, best=-23.329435348510742, std=9.467187881469727
[2025-12-10 21:07:26] Geração 024 — mean=-56.96030807495117, best=-23.329435348510742, std=9.52390193939209
[2025-12-10 21:07:33] Geração 025 — mean=-57.380088806152344, best=-23.329435348510742, std=9.796035766601562
[2025-12-10 21:07:40] Geração 026 — mean=-56.22214889526367, best=-23.329435348510742, std=10.365095138549805
[2025-12-10 21:07:47] Geração 027 — mean=-56.473968505859375, best=-23.329435348510742, std=9.851212501525879
[2025-12-10 21:07:54] Geração 028 — mean=-57.2719612121582, best=-23.329435348510742, std=9.924299240112305
[2025-12-10 21:08:00] Geração 029 — mean=-57.91826629638672, best=-23.329435348510742, std=9.944657325744629
[2025-12-10 21:08:07] Geração 030 — mean=-57.26799774169922, best=-23.329435348510742, std=9.633666038513184
[2025-12-10 21:08:15] Geração 031 — mean=-57.31727600097656, best=-23.329435348510742, std=9.742250442504883
[2025-12-10 21:08:22] Geração 032 — mean=-56.96693420410156, best=-23.329435348510742, std=10.16796875
[2025-12-10 21:08:28] Geração 033 — mean=-57.344295501708984, best=-23.329435348510742, std=9.893860816955566
[2025-12-10 21:08:35] Geração 034 — mean=-58.67824172973633, best=-23.329435348510742, std=9.599579811096191
[2025-12-10 21:08:42] Geração 035 — mean=-58.237403869628906, best=-23.329435348510742, std=9.629602432250977
[2025-12-10 21:08:49] Geração 036 — mean=-57.59040832519531, best=-23.329435348510742, std=9.79513931274414
[2025-12-10 21:08:56] Geração 037 — mean=-57.28928756713867, best=-23.329435348510742, std=10.11451244354248
[2025-12-10 21:09:03] Geração 038 — mean=-57.61418151855469, best=-23.329435348510742, std=10.37581729888916
[2025-12-10 21:09:09] Geração 039 — mean=-56.72057342529297, best=-23.329435348510742, std=9.788595199584961
[2025-12-10 21:09:16] Geração 040 — mean=-56.29126739501953, best=-23.329435348510742, std=10.221207618713379
