[2025-12-10 23:47:07] Geração 001 — mean=-5.0880, best=-4.6186, std=0.1288, frac_changed=0.000
[2025-12-10 23:47:14] Geração 002 — mean=-4.9709, best=-4.2340, std=0.2005, frac_changed=0.000
[2025-12-10 23:47:21] Geração 003 — mean=-4.7976, best=-3.7103, std=0.2779, frac_changed=0.000
[2025-12-10 23:47:28] Geração 004 — mean=-4.5935, best=-3.1694, std=0.3448, frac_changed=0.000
[2025-12-10 23:47:35] Geração 005 — mean=-4.3548, best=-2.6845, std=0.4001, frac_changed=0.000
[2025-12-10 23:47:42] Geração 006 — mean=-3.9878, best=-1.7182, std=0.5921, frac_changed=0.000
[2025-12-10 23:47:48] Geração 007 — mean=-3.6156, best=-1.3240, std=0.7043, frac_changed=0.000
[2025-12-10 23:47:55] Geração 008 — mean=-3.1857, best=-0.2176, std=0.7922, frac_changed=0.000
[2025-12-10 23:48:02] Geração 009 — mean=-2.7378, best=0.2099, std=0.9199, frac_changed=0.012
[2025-12-10 23:48:09] Geração 010 — mean=-2.2865, best=0.8049, std=0.9975, frac_changed=0.036
[2025-12-10 23:48:16] Geração 011 — mean=-1.6614, best=1.9906, std=1.1822, frac_changed=0.120
[2025-12-10 23:48:22] Geração 012 — mean=-1.0427, best=3.6978, std=1.3013, frac_changed=0.220
[2025-12-10 23:48:29] Geração 013 — mean=-0.3855, best=4.8260, std=1.4471, frac_changed=0.372
[2025-12-10 23:48:36] Geração 014 — mean=0.4289, best=4.8260, std=1.5281, frac_changed=0.600
[2025-12-10 23:48:43] Geração 015 — mean=1.2692, best=5.2952, std=1.6685, frac_changed=0.808
[2025-12-10 23:48:50] Geração 016 — mean=2.0954, best=5.2927, std=1.6058, frac_changed=0.916
[2025-12-10 23:48:57] Geração 017 — mean=2.7812, best=5.2927, std=1.3445, frac_changed=0.984
[2025-12-10 23:49:04] Geração 018 — mean=3.4836, best=5.2927, std=1.0650, frac_changed=0.996
[2025-12-10 23:49:11] Geração 019 — mean=3.9389, best=5.2927, std=0.8198, frac_changed=1.000
[2025-12-10 23:49:18] Geração 020 — mean=4.1584, best=5.3913, std=0.8323, frac_changed=0.996
[2025-12-10 23:49:24] Geração 021 — mean=4.3613, best=5.4513, std=0.7267, frac_changed=1.000
[2025-12-10 23:49:31] Geração 022 — mean=4.5640, best=5.6981, std=0.6423, frac_changed=1.000
[2025-12-10 23:49:38] Geração 023 — mean=4.7992, best=5.6981, std=0.4839, frac_changed=1.000
[2025-12-10 23:49:45] Geração 024 — mean=4.9590, best=5.8632, std=0.4454, frac_changed=1.000
[2025-12-10 23:49:52] Geração 025 — mean=5.0720, best=5.8632, std=0.4759, frac_changed=1.000
[2025-12-10 23:49:59] Geração 026 — mean=5.2671, best=5.8898, std=0.3302, frac_changed=1.000
[2025-12-10 23:50:05] Geração 027 — mean=5.4022, best=5.9626, std=0.2627, frac_changed=1.000
[2025-12-10 23:50:12] Geração 028 — mean=5.5053, best=5.9626, std=0.2023, frac_changed=1.000
[2025-12-10 23:50:19] Geração 029 — mean=5.5593, best=5.9626, std=0.2151, frac_changed=1.000
[2025-12-10 23:50:26] Geração 030 — mean=5.6279, best=5.9626, std=0.1969, frac_changed=1.000
[2025-12-10 23:50:33] Geração 031 — mean=5.6781, best=5.9804, std=0.2292, frac_changed=1.000
[2025-12-10 23:50:40] Geração 032 — mean=5.7349, best=5.9857, std=0.1476, frac_changed=1.000
[2025-12-10 23:50:47] Geração 033 — mean=5.7928, best=6.0537, std=0.1207, frac_changed=1.000
[2025-12-10 23:50:54] Geração 034 — mean=5.8233, best=6.0796, std=0.1014, frac_changed=1.000
[2025-12-10 23:51:01] Geração 035 — mean=5.8426, best=6.0908, std=0.1203, frac_changed=1.000
[2025-12-10 23:51:08] Geração 036 — mean=5.8842, best=6.1035, std=0.0983, frac_changed=1.000
[2025-12-10 23:51:14] Geração 037 — mean=5.9142, best=6.1351, std=0.0905, frac_changed=1.000
[2025-12-10 23:51:21] Geração 038 — mean=5.9386, best=6.1353, std=0.0849, frac_changed=1.000
[2025-12-10 23:51:28] Geração 039 — mean=5.9666, best=6.1440, std=0.0934, frac_changed=1.000
[2025-12-10 23:51:35] Geração 040 — mean=6.0049, best=6.1515, std=0.0850, frac_changed=1.000
[2025-12-10 23:51:42] Geração 041 — mean=6.0323, best=6.1783, std=0.0759, frac_changed=1.000
[2025-12-10 23:51:48] Geração 042 — mean=6.0508, best=6.2001, std=0.0726, frac_changed=1.000
[2025-12-10 23:51:55] Geração 043 — mean=6.0666, best=6.2229, std=0.0651, frac_changed=1.000
[2025-12-10 23:52:02] Geração 044 — mean=6.0833, best=6.2426, std=0.0672, frac_changed=1.000
[2025-12-10 23:52:10] Geração 045 — mean=6.1046, best=6.2426, std=0.0574, frac_changed=1.000
[2025-12-10 23:52:16] Geração 046 — mean=6.1149, best=6.2426, std=0.0583, frac_changed=1.000
[2025-12-10 23:52:23] Geração 047 — mean=6.1365, best=6.2656, std=0.0566, frac_changed=1.000
[2025-12-10 23:52:30] Geração 048 — mean=6.1469, best=6.2668, std=0.0505, frac_changed=1.000
[2025-12-10 23:52:37] Geração 049 — mean=6.1634, best=6.3266, std=0.0506, frac_changed=1.000
[2025-12-10 23:52:44] Geração 050 — mean=6.1728, best=6.3266, std=0.0568, frac_changed=1.000
[2025-12-10 23:52:51] Geração 051 — mean=6.1895, best=6.3325, std=0.0475, frac_changed=1.000
[2025-12-10 23:52:57] Geração 052 — mean=6.2006, best=6.3325, std=0.0534, frac_changed=1.000
[2025-12-10 23:53:04] Geração 053 — mean=6.2159, best=6.3594, std=0.0574, frac_changed=1.000
[2025-12-10 23:53:11] Geração 054 — mean=6.2397, best=6.3671, std=0.0606, frac_changed=1.000
[2025-12-10 23:53:18] Geração 055 — mean=6.2588, best=6.3902, std=0.0549, frac_changed=1.000
[2025-12-10 23:53:25] Geração 056 — mean=6.2769, best=6.3973, std=0.0516, frac_changed=1.000
[2025-12-10 23:53:32] Geração 057 — mean=6.2899, best=6.4137, std=0.0429, frac_changed=1.000
[2025-12-10 23:53:38] Geração 058 — mean=6.3005, best=6.4149, std=0.0412, frac_changed=1.000
[2025-12-10 23:53:45] Geração 059 — mean=6.3084, best=6.4292, std=0.0439, frac_changed=1.000
[2025-12-10 23:53:53] Geração 060 — mean=6.3162, best=6.4364, std=0.0443, frac_changed=1.000
[2025-12-10 23:53:59] Geração 061 — mean=6.3275, best=6.4364, std=0.0413, frac_changed=1.000
[2025-12-10 23:54:06] Geração 062 — mean=6.3396, best=6.4473, std=0.0457, frac_changed=1.000
[2025-12-10 23:54:13] Geração 063 — mean=6.3514, best=6.4623, std=0.0471, frac_changed=1.000
[2025-12-10 23:54:20] Geração 064 — mean=6.3671, best=6.4708, std=0.0438, frac_changed=1.000
[2025-12-10 23:54:27] Geração 065 — mean=6.3836, best=6.4887, std=0.0421, frac_changed=1.000
[2025-12-10 23:54:34] Geração 066 — mean=6.3953, best=6.4929, std=0.0430, frac_changed=1.000
[2025-12-10 23:54:40] Geração 067 — mean=6.4075, best=6.4969, std=0.0422, frac_changed=1.000
[2025-12-10 23:54:47] Geração 068 — mean=6.4162, best=6.5095, std=0.0404, frac_changed=1.000
[2025-12-10 23:54:54] Geração 069 — mean=6.4280, best=6.5240, std=0.0361, frac_changed=1.000
[2025-12-10 23:55:01] Geração 070 — mean=6.4362, best=6.5240, std=0.0357, frac_changed=1.000
[2025-12-10 23:55:08] Geração 071 — mean=6.4481, best=6.5357, std=0.0362, frac_changed=1.000
[2025-12-10 23:55:15] Geração 072 — mean=6.4596, best=6.5385, std=0.0335, frac_changed=1.000
[2025-12-10 23:55:21] Geração 073 — mean=6.4643, best=6.5656, std=0.0320, frac_changed=1.000
[2025-12-10 23:55:29] Geração 074 — mean=6.4743, best=6.5656, std=0.0339, frac_changed=1.000
[2025-12-10 23:55:36] Geração 075 — mean=6.4875, best=6.5745, std=0.0339, frac_changed=1.000
[2025-12-10 23:55:42] Geração 076 — mean=6.4992, best=6.5776, std=0.0307, frac_changed=1.000
[2025-12-10 23:55:49] Geração 077 — mean=6.5049, best=6.5776, std=0.0327, frac_changed=1.000
[2025-12-10 23:55:56] Geração 078 — mean=6.5120, best=6.5776, std=0.0279, frac_changed=1.000
[2025-12-10 23:56:03] Geração 079 — mean=6.5187, best=6.5799, std=0.0284, frac_changed=1.000
[2025-12-10 23:56:10] Geração 080 — mean=6.5272, best=6.6118, std=0.0305, frac_changed=1.000
[2025-12-10 23:56:17] Geração 081 — mean=6.5352, best=6.6118, std=0.0284, frac_changed=1.000
[2025-12-10 23:56:23] Geração 082 — mean=6.5425, best=6.6142, std=0.0276, frac_changed=1.000
[2025-12-10 23:56:30] Geração 083 — mean=6.5479, best=6.6217, std=0.0256, frac_changed=1.000
[2025-12-10 23:56:37] Geração 084 — mean=6.5522, best=6.6271, std=0.0292, frac_changed=1.000
[2025-12-10 23:56:44] Geração 085 — mean=6.5578, best=6.6275, std=0.0278, frac_changed=1.000
[2025-12-10 23:56:51] Geração 086 — mean=6.5657, best=6.6275, std=0.0284, frac_changed=1.000
[2025-12-10 23:56:58] Geração 087 — mean=6.5729, best=6.6279, std=0.0293, frac_changed=1.000
[2025-12-10 23:57:04] Geração 088 — mean=6.5797, best=6.6287, std=0.0255, frac_changed=1.000
[2025-12-10 23:57:12] Geração 089 — mean=6.5858, best=6.6430, std=0.0269, frac_changed=1.000
[2025-12-10 23:57:19] Geração 090 — mean=6.5908, best=6.6547, std=0.0233, frac_changed=1.000
[2025-12-10 23:57:26] Geração 091 — mean=6.5947, best=6.6547, std=0.0246, frac_changed=1.000
[2025-12-10 23:57:32] Geração 092 — mean=6.6000, best=6.6642, std=0.0250, frac_changed=1.000
[2025-12-10 23:57:39] Geração 093 — mean=6.6055, best=6.6642, std=0.0239, frac_changed=1.000
[2025-12-10 23:57:46] Geração 094 — mean=6.6101, best=6.6642, std=0.0248, frac_changed=1.000
[2025-12-10 23:57:53] Geração 095 — mean=6.6146, best=6.6726, std=0.0229, frac_changed=1.000
[2025-12-10 23:58:00] Geração 096 — mean=6.6193, best=6.6927, std=0.0225, frac_changed=1.000
[2025-12-10 23:58:07] Geração 097 — mean=6.6222, best=6.6927, std=0.0251, frac_changed=1.000
[2025-12-10 23:58:13] Geração 098 — mean=6.6267, best=6.6930, std=0.0251, frac_changed=1.000
[2025-12-10 23:58:20] Geração 099 — mean=6.6304, best=6.6945, std=0.0267, frac_changed=1.000
[2025-12-10 23:58:27] Geração 100 — mean=6.6392, best=6.6948, std=0.0270, frac_changed=1.000
[2025-12-10 23:58:34] Geração 101 — mean=6.6456, best=6.7007, std=0.0255, frac_changed=1.000
[2025-12-10 23:58:41] Geração 102 — mean=6.6549, best=6.7044, std=0.0235, frac_changed=1.000
[2025-12-10 23:58:48] Geração 103 — mean=6.6571, best=6.7134, std=0.0236, frac_changed=1.000
[2025-12-10 23:58:55] Geração 104 — mean=6.6624, best=6.7135, std=0.0234, frac_changed=1.000
[2025-12-10 23:59:02] Geração 105 — mean=6.6672, best=6.7278, std=0.0232, frac_changed=1.000
[2025-12-10 23:59:09] Geração 106 — mean=6.6703, best=6.7278, std=0.0222, frac_changed=1.000
