[2025-12-10 20:16:21] Geração 001 — mean=0.03762548044323921, best=0.10677575320005417, std=0.014215310104191303
[2025-12-10 20:16:24] Geração 002 — mean=0.04286346584558487, best=0.44676366448402405, std=0.034647490829229355
[2025-12-10 20:16:26] Geração 003 — mean=0.04168970510363579, best=0.44676366448402405, std=0.03451558202505112
[2025-12-10 20:16:28] Geração 004 — mean=0.05029946193099022, best=0.589322030544281, std=0.06178474798798561
[2025-12-10 20:16:31] Geração 005 — mean=0.048908621072769165, best=0.949505090713501, std=0.07628598064184189
[2025-12-10 20:16:33] Geração 006 — mean=0.051081061363220215, best=0.949505090713501, std=0.09368444979190826
[2025-12-10 20:16:35] Geração 007 — mean=0.06196264177560806, best=0.977241039276123, std=0.12831395864486694
[2025-12-10 20:16:38] Geração 008 — mean=0.0547286681830883, best=0.9753633737564087, std=0.11340780556201935
[2025-12-10 20:16:40] Geração 009 — mean=0.05818483233451843, best=0.9753633737564087, std=0.1130133792757988
[2025-12-10 20:16:43] Geração 010 — mean=0.06806384027004242, best=0.9783867597579956, std=0.15225429832935333
[2025-12-10 20:16:45] Geração 011 — mean=0.06983573734760284, best=0.9819108843803406, std=0.15501509606838226
[2025-12-10 20:16:47] Geração 012 — mean=0.08640092611312866, best=0.9860485792160034, std=0.1681823581457138
[2025-12-10 20:16:50] Geração 013 — mean=0.0873531848192215, best=0.9881091713905334, std=0.18767647445201874
[2025-12-10 20:16:52] Geração 014 — mean=0.09698373079299927, best=0.9881091713905334, std=0.18646201491355896
[2025-12-10 20:16:54] Geração 015 — mean=0.09829021990299225, best=0.9881091713905334, std=0.1843755543231964
[2025-12-10 20:16:57] Geração 016 — mean=0.1167479082942009, best=0.9885586500167847, std=0.22005988657474518
[2025-12-10 20:16:59] Geração 017 — mean=0.11264598369598389, best=0.9907537698745728, std=0.20719635486602783
[2025-12-10 20:17:02] Geração 018 — mean=0.1367737352848053, best=0.9907537698745728, std=0.2366732805967331
[2025-12-10 20:17:04] Geração 019 — mean=0.16108770668506622, best=0.9907650947570801, std=0.26480522751808167
[2025-12-10 20:17:07] Geração 020 — mean=0.226458340883255, best=0.9907650947570801, std=0.32389023900032043
[2025-12-10 20:17:09] Geração 021 — mean=0.22503115236759186, best=0.9907650947570801, std=0.3134123980998993
[2025-12-10 20:17:11] Geração 022 — mean=0.2252967357635498, best=0.9907650947570801, std=0.31484493613243103
[2025-12-10 20:17:14] Geração 023 — mean=0.24585552513599396, best=0.9907650947570801, std=0.33031225204467773
[2025-12-10 20:17:16] Geração 024 — mean=0.2546576261520386, best=0.9922711849212646, std=0.3440634310245514
[2025-12-10 20:17:19] Geração 025 — mean=0.29834678769111633, best=0.9922711849212646, std=0.350721150636673
[2025-12-10 20:17:21] Geração 026 — mean=0.30955302715301514, best=0.9927870631217957, std=0.3588075637817383
[2025-12-10 20:17:23] Geração 027 — mean=0.3374585509300232, best=0.9930108189582825, std=0.36760029196739197
[2025-12-10 20:17:26] Geração 028 — mean=0.39737799763679504, best=0.9930108189582825, std=0.39085811376571655
[2025-12-10 20:17:28] Geração 029 — mean=0.4216136336326599, best=0.9930108189582825, std=0.4012230932712555
[2025-12-10 20:17:31] Geração 030 — mean=0.5189608931541443, best=0.9930108189582825, std=0.40761443972587585
[2025-12-10 20:17:33] Geração 031 — mean=0.4903300106525421, best=0.9930108189582825, std=0.4026396572589874
[2025-12-10 20:17:35] Geração 032 — mean=0.5379295945167542, best=0.9930108189582825, std=0.412838339805603
[2025-12-10 20:17:38] Geração 033 — mean=0.6226480007171631, best=0.9930914640426636, std=0.3955632448196411
[2025-12-10 20:17:40] Geração 034 — mean=0.5798404812812805, best=0.9931662678718567, std=0.40736937522888184
[2025-12-10 20:17:43] Geração 035 — mean=0.6104051470756531, best=0.9931662678718567, std=0.4071875512599945
[2025-12-10 20:17:45] Geração 036 — mean=0.6746370196342468, best=0.9934645295143127, std=0.39301908016204834
[2025-12-10 20:17:47] Geração 037 — mean=0.6745305061340332, best=0.9934645295143127, std=0.395465612411499
[2025-12-10 20:17:50] Geração 038 — mean=0.6557996869087219, best=0.9934645295143127, std=0.3976401090621948
[2025-12-10 20:17:52] Geração 039 — mean=0.6786687970161438, best=0.9934645295143127, std=0.398508220911026
[2025-12-10 20:17:55] Geração 040 — mean=0.7077693939208984, best=0.9934645295143127, std=0.379302978515625
[2025-12-10 20:17:57] Geração 041 — mean=0.6641929745674133, best=0.9934645295143127, std=0.4148194491863251
[2025-12-10 20:17:59] Geração 042 — mean=0.7186423540115356, best=0.9934645295143127, std=0.38642245531082153
[2025-12-10 20:18:02] Geração 043 — mean=0.7527598142623901, best=0.9934859871864319, std=0.36323082447052
[2025-12-10 20:18:04] Geração 044 — mean=0.7558541893959045, best=0.9934960603713989, std=0.36547401547431946
[2025-12-10 20:18:06] Geração 045 — mean=0.7667644023895264, best=0.993550181388855, std=0.35307976603507996
[2025-12-10 20:18:09] Geração 046 — mean=0.7089865803718567, best=0.9936098456382751, std=0.39391812682151794
[2025-12-10 20:18:11] Geração 047 — mean=0.7612200975418091, best=0.9936098456382751, std=0.36283448338508606
[2025-12-10 20:18:14] Geração 048 — mean=0.7760584354400635, best=0.9936098456382751, std=0.35100656747817993
[2025-12-10 20:18:16] Geração 049 — mean=0.8087778091430664, best=0.9936098456382751, std=0.33709725737571716
[2025-12-10 20:18:19] Geração 050 — mean=0.8057406544685364, best=0.9936098456382751, std=0.34549206495285034
[2025-12-10 20:18:21] Geração 051 — mean=0.8639768362045288, best=0.9936912059783936, std=0.2717387080192566
[2025-12-10 20:18:23] Geração 052 — mean=0.8385765552520752, best=0.993685781955719, std=0.31186121702194214
[2025-12-10 20:18:26] Geração 053 — mean=0.8269923329353333, best=0.9937729239463806, std=0.3236260712146759
[2025-12-10 20:18:28] Geração 054 — mean=0.8276005983352661, best=0.9937729239463806, std=0.32155174016952515
[2025-12-10 20:18:30] Geração 055 — mean=0.8615764379501343, best=0.9937729239463806, std=0.2967793345451355
[2025-12-10 20:18:33] Geração 056 — mean=0.87614506483078, best=0.9937729239463806, std=0.26195234060287476
[2025-12-10 20:18:35] Geração 057 — mean=0.9148685932159424, best=0.9937910437583923, std=0.21741081774234772
[2025-12-10 20:18:38] Geração 058 — mean=0.8908942937850952, best=0.9937910437583923, std=0.2552911341190338
[2025-12-10 20:18:40] Geração 059 — mean=0.8943260908126831, best=0.9937910437583923, std=0.25423121452331543
[2025-12-10 20:18:42] Geração 060 — mean=0.9058369398117065, best=0.9937910437583923, std=0.24240225553512573
[2025-12-10 20:18:45] Geração 061 — mean=0.8814012408256531, best=0.9937910437583923, std=0.26300087571144104
[2025-12-10 20:18:47] Geração 062 — mean=0.8835697770118713, best=0.9938819408416748, std=0.27377673983573914
[2025-12-10 20:18:50] Geração 063 — mean=0.8960502743721008, best=0.9938819408416748, std=0.25406017899513245
[2025-12-10 20:18:52] Geração 064 — mean=0.9136766195297241, best=0.9938819408416748, std=0.2181251049041748
[2025-12-10 20:18:54] Geração 065 — mean=0.9136295318603516, best=0.9938819408416748, std=0.22231116890907288
[2025-12-10 20:18:57] Geração 066 — mean=0.917275607585907, best=0.9938819408416748, std=0.22060571610927582
[2025-12-10 20:18:59] Geração 067 — mean=0.894911527633667, best=0.9939067959785461, std=0.26530030369758606
[2025-12-10 20:19:02] Geração 068 — mean=0.9066461324691772, best=0.9939050078392029, std=0.23861642181873322
[2025-12-10 20:19:04] Geração 069 — mean=0.9196777939796448, best=0.9939811825752258, std=0.22142399847507477
[2025-12-10 20:19:06] Geração 070 — mean=0.908936619758606, best=0.9939811825752258, std=0.23710082471370697
[2025-12-10 20:19:09] Geração 071 — mean=0.8939918875694275, best=0.9939811825752258, std=0.2616804838180542
[2025-12-10 20:19:11] Geração 072 — mean=0.894629716873169, best=0.9939811825752258, std=0.26071518659591675
[2025-12-10 20:19:14] Geração 073 — mean=0.9124734401702881, best=0.9939811825752258, std=0.23459601402282715
[2025-12-10 20:19:16] Geração 074 — mean=0.9174851179122925, best=0.9939811825752258, std=0.2222003936767578
[2025-12-10 20:19:19] Geração 075 — mean=0.91944420337677, best=0.9939917922019958, std=0.23078566789627075
[2025-12-10 20:19:21] Geração 076 — mean=0.9579330086708069, best=0.9940667152404785, std=0.1586950272321701
[2025-12-10 20:19:23] Geração 077 — mean=0.9506287574768066, best=0.9940667152404785, std=0.1510198563337326
[2025-12-10 20:19:26] Geração 078 — mean=0.9067239761352539, best=0.9940667152404785, std=0.24269287288188934
[2025-12-10 20:19:28] Geração 079 — mean=0.9051311612129211, best=0.9941082000732422, std=0.25313296914100647
[2025-12-10 20:19:30] Geração 080 — mean=0.9005010724067688, best=0.9941082000732422, std=0.2585948407649994
[2025-12-10 20:19:33] Geração 081 — mean=0.9380044937133789, best=0.9941082000732422, std=0.18235351145267487
[2025-12-10 20:19:35] Geração 082 — mean=0.9504954814910889, best=0.9941869974136353, std=0.15338391065597534
[2025-12-10 20:19:38] Geração 083 — mean=0.9309273958206177, best=0.9941869974136353, std=0.2083086520433426
[2025-12-10 20:19:40] Geração 084 — mean=0.9470323920249939, best=0.9941869974136353, std=0.16903892159461975
[2025-12-10 20:19:42] Geração 085 — mean=0.935168981552124, best=0.9941869974136353, std=0.19725342094898224
[2025-12-10 20:19:45] Geração 086 — mean=0.9545814394950867, best=0.9941869974136353, std=0.16963393986225128
[2025-12-10 20:19:47] Geração 087 — mean=0.951871931552887, best=0.9941869974136353, std=0.17211082577705383
[2025-12-10 20:19:49] Geração 088 — mean=0.9602169394493103, best=0.9941869974136353, std=0.1498633474111557
[2025-12-10 20:19:52] Geração 089 — mean=0.9211540818214417, best=0.9941869974136353, std=0.21579976379871368
[2025-12-10 20:19:54] Geração 090 — mean=0.9288011193275452, best=0.9941869974136353, std=0.2140127569437027
[2025-12-10 20:19:57] Geração 091 — mean=0.9330517649650574, best=0.9941869974136353, std=0.1933065950870514
[2025-12-10 20:19:59] Geração 092 — mean=0.9243160486221313, best=0.9941869974136353, std=0.2188594490289688
[2025-12-10 20:20:01] Geração 093 — mean=0.9477452039718628, best=0.9941869974136353, std=0.17356693744659424
[2025-12-10 20:20:04] Geração 094 — mean=0.9698759913444519, best=0.9941869974136353, std=0.11386334151029587
[2025-12-10 20:20:06] Geração 095 — mean=0.9684407711029053, best=0.9941869974136353, std=0.12903986871242523
[2025-12-10 20:20:08] Geração 096 — mean=0.9536314606666565, best=0.9941869974136353, std=0.16660939157009125
[2025-12-10 20:20:11] Geração 097 — mean=0.9636351466178894, best=0.9941869974136353, std=0.1458975076675415
[2025-12-10 20:20:13] Geração 098 — mean=0.9535031914710999, best=0.9941869974136353, std=0.1685888171195984
[2025-12-10 20:20:15] Geração 099 — mean=0.9560531973838806, best=0.994208574295044, std=0.1500752568244934
[2025-12-10 20:20:18] Geração 100 — mean=0.9634278416633606, best=0.994208574295044, std=0.1515805870294571
[2025-12-10 20:20:20] Geração 101 — mean=0.9582052826881409, best=0.994208574295044, std=0.13887804746627808
[2025-12-10 20:20:22] Geração 102 — mean=0.9581708312034607, best=0.994208574295044, std=0.14839904010295868
[2025-12-10 20:20:25] Geração 103 — mean=0.962449848651886, best=0.994208574295044, std=0.14742867648601532
[2025-12-10 20:20:27] Geração 104 — mean=0.9644172787666321, best=0.994208574295044, std=0.1428297609090805
[2025-12-10 20:20:30] Geração 105 — mean=0.9704713225364685, best=0.994208574295044, std=0.12115449458360672
[2025-12-10 20:20:32] Geração 106 — mean=0.9813950061798096, best=0.994208574295044, std=0.07424044609069824
[2025-12-10 20:20:34] Geração 107 — mean=0.9644468426704407, best=0.994208574295044, std=0.15392881631851196
[2025-12-10 20:20:37] Geração 108 — mean=0.9668160080909729, best=0.994208574295044, std=0.1441660374403
[2025-12-10 20:20:39] Geração 109 — mean=0.9660645723342896, best=0.994208574295044, std=0.14366264641284943
[2025-12-10 20:20:41] Geração 110 — mean=0.9857156872749329, best=0.9942407608032227, std=0.06759019196033478
[2025-12-10 20:20:44] Geração 111 — mean=0.9740526080131531, best=0.9942407608032227, std=0.11877501755952835
[2025-12-10 20:20:46] Geração 112 — mean=0.9770986437797546, best=0.9942739605903625, std=0.10031884163618088
[2025-12-10 20:20:48] Geração 113 — mean=0.9667947888374329, best=0.9942739605903625, std=0.13775822520256042
[2025-12-10 20:20:51] Geração 114 — mean=0.976814866065979, best=0.9942739605903625, std=0.09962768852710724
[2025-12-10 20:20:53] Geração 115 — mean=0.9828413128852844, best=0.9942739605903625, std=0.0669858530163765
[2025-12-10 20:20:55] Geração 116 — mean=0.9817734360694885, best=0.9942739605903625, std=0.08790961652994156
[2025-12-10 20:20:58] Geração 117 — mean=0.9781157374382019, best=0.9942739605903625, std=0.10191893577575684
[2025-12-10 20:21:00] Geração 118 — mean=0.9749528765678406, best=0.9943504929542542, std=0.10809284448623657
[2025-12-10 20:21:03] Geração 119 — mean=0.9813864827156067, best=0.9943504929542542, std=0.08653642237186432
[2025-12-10 20:21:05] Geração 120 — mean=0.9769296646118164, best=0.9943543672561646, std=0.11120418459177017
[2025-12-10 20:21:07] Geração 121 — mean=0.9841904640197754, best=0.994354248046875, std=0.07079815119504929
[2025-12-10 20:21:10] Geração 122 — mean=0.9868102073669434, best=0.9944122433662415, std=0.06344053149223328
[2025-12-10 20:21:12] Geração 123 — mean=0.975730299949646, best=0.9944122433662415, std=0.11950333416461945
[2025-12-10 20:21:14] Geração 124 — mean=0.9795433282852173, best=0.9944463968276978, std=0.1030258908867836
[2025-12-10 20:21:17] Geração 125 — mean=0.990248441696167, best=0.9944463968276978, std=0.041189126670360565
[2025-12-10 20:21:19] Geração 126 — mean=0.9913601875305176, best=0.994504988193512, std=0.019097547978162766
[2025-12-10 20:21:21] Geração 127 — mean=0.9891545176506042, best=0.9945675134658813, std=0.05993882194161415
[2025-12-10 20:21:24] Geração 128 — mean=0.9870350360870361, best=0.9946537017822266, std=0.06264220923185349
[2025-12-10 20:21:26] Geração 129 — mean=0.9869371652603149, best=0.9946537017822266, std=0.06629528850317001
[2025-12-10 20:21:29] Geração 130 — mean=0.9861440658569336, best=0.9946537017822266, std=0.0827544704079628
[2025-12-10 20:21:31] Geração 131 — mean=0.9891030192375183, best=0.9946861267089844, std=0.05636175721883774
[2025-12-10 20:21:33] Geração 132 — mean=0.9936380982398987, best=0.9946861267089844, std=0.002050894545391202
[2025-12-10 20:21:36] Geração 133 — mean=0.9936860799789429, best=0.9947013854980469, std=0.0021831276826560497
[2025-12-10 20:21:38] Geração 134 — mean=0.9876898527145386, best=0.9947546720504761, std=0.06996019929647446
[2025-12-10 20:21:40] Geração 135 — mean=0.9940715432167053, best=0.9948002099990845, std=0.0006436294061131775
[2025-12-10 20:21:43] Geração 136 — mean=0.9930459260940552, best=0.9948002099990845, std=0.011073850095272064
[2025-12-10 20:21:45] Geração 137 — mean=0.9938878417015076, best=0.9948034882545471, std=0.0012477830750867724
[2025-12-10 20:21:48] Geração 138 — mean=0.9939166307449341, best=0.9948045611381531, std=0.0012624047230929136
[2025-12-10 20:21:50] Geração 139 — mean=0.9939625263214111, best=0.9948101043701172, std=0.0014091671910136938
[2025-12-10 20:21:52] Geração 140 — mean=0.9940273761749268, best=0.9948129653930664, std=0.0014235081616789103
[2025-12-10 20:21:55] Geração 141 — mean=0.9940603375434875, best=0.9948129653930664, std=0.0018178040627390146
[2025-12-10 20:21:57] Geração 142 — mean=0.9942445158958435, best=0.9948815107345581, std=0.0004366110952105373
[2025-12-10 20:21:59] Geração 143 — mean=0.9935935139656067, best=0.9948840737342834, std=0.0066141411662101746
[2025-12-10 20:22:02] Geração 144 — mean=0.9939157366752625, best=0.9948840737342834, std=0.0046469829976558685
[2025-12-10 20:22:04] Geração 145 — mean=0.9939265251159668, best=0.9948970675468445, std=0.004085911437869072
[2025-12-10 20:22:06] Geração 146 — mean=0.9942986369132996, best=0.9948976635932922, std=0.000474523869343102
[2025-12-10 20:22:09] Geração 147 — mean=0.9941841959953308, best=0.9948976635932922, std=0.0009586625383235514
[2025-12-10 20:22:11] Geração 148 — mean=0.9940925240516663, best=0.9948976635932922, std=0.001784514170140028
[2025-12-10 20:22:14] Geração 149 — mean=0.994221031665802, best=0.9948976635932922, std=0.0008784797973930836
[2025-12-10 20:22:16] Geração 150 — mean=0.9941264986991882, best=0.9948976635932922, std=0.0016083464724943042
[2025-12-10 20:22:18] Geração 151 — mean=0.9939755797386169, best=0.9948976635932922, std=0.00299240299500525
[2025-12-10 20:22:21] Geração 152 — mean=0.9941476583480835, best=0.9949363470077515, std=0.0012636580504477024
[2025-12-10 20:22:23] Geração 153 — mean=0.9931380748748779, best=0.9949363470077515, std=0.017575034871697426
[2025-12-10 20:22:25] Geração 154 — mean=0.9941754937171936, best=0.9949363470077515, std=0.001279677264392376
[2025-12-10 20:22:28] Geração 155 — mean=0.9941772818565369, best=0.9949363470077515, std=0.0012667642440646887
[2025-12-10 20:22:30] Geração 156 — mean=0.9942907094955444, best=0.9949363470077515, std=0.0004994086921215057
[2025-12-10 20:22:33] Geração 157 — mean=0.994250476360321, best=0.9949393272399902, std=0.0006388742476701736
[2025-12-10 20:22:35] Geração 158 — mean=0.9917565584182739, best=0.9949678778648376, std=0.04044031724333763
[2025-12-10 20:22:37] Geração 159 — mean=0.9923348426818848, best=0.9949678778648376, std=0.02900034934282303
[2025-12-10 20:22:40] Geração 160 — mean=0.9939717650413513, best=0.9949678778648376, std=0.003634763415902853
[2025-12-10 20:22:42] Geração 161 — mean=0.9942908883094788, best=0.9949678778648376, std=0.0006976816221140325
[2025-12-10 20:22:45] Geração 162 — mean=0.9942854046821594, best=0.9949678778648376, std=0.001861310563981533
[2025-12-10 20:22:47] Geração 163 — mean=0.9942852854728699, best=0.9949678778648376, std=0.0007141699898056686
[2025-12-10 20:22:49] Geração 164 — mean=0.994162917137146, best=0.9949678778648376, std=0.0016722328728064895
[2025-12-10 20:22:52] Geração 165 — mean=0.9943854212760925, best=0.9949871301651001, std=0.0005298129981383681
[2025-12-10 20:22:54] Geração 166 — mean=0.9943781495094299, best=0.9949907660484314, std=0.0006528769736178219
[2025-12-10 20:22:56] Geração 167 — mean=0.9936588406562805, best=0.9949907660484314, std=0.011420735158026218
[2025-12-10 20:22:59] Geração 168 — mean=0.9944453239440918, best=0.9949907660484314, std=0.00046967819798737764
[2025-12-10 20:23:01] Geração 169 — mean=0.9944584965705872, best=0.9949907660484314, std=0.0004268187331035733
[2025-12-10 20:23:03] Geração 170 — mean=0.9941098093986511, best=0.9949907660484314, std=0.005478400271385908
[2025-12-10 20:23:06] Geração 171 — mean=0.9944142699241638, best=0.9949912428855896, std=0.0007407271768897772
[2025-12-10 20:23:08] Geração 172 — mean=0.994415283203125, best=0.9950366616249084, std=0.0008260714239440858
[2025-12-10 20:23:11] Geração 173 — mean=0.9945376515388489, best=0.9950366616249084, std=0.000416705064708367
[2025-12-10 20:23:13] Geração 174 — mean=0.9944755434989929, best=0.9950463771820068, std=0.0009437330299988389
[2025-12-10 20:23:15] Geração 175 — mean=0.9945061206817627, best=0.9950463771820068, std=0.0004439393524080515
[2025-12-10 20:23:18] Geração 176 — mean=0.9944807887077332, best=0.9950620532035828, std=0.0007898648618720472
[2025-12-10 20:23:20] Geração 177 — mean=0.9921931028366089, best=0.9950571060180664, std=0.035751648247241974
[2025-12-10 20:23:23] Geração 178 — mean=0.9945024251937866, best=0.9950571060180664, std=0.0008524289005436003
[2025-12-10 20:23:25] Geração 179 — mean=0.9945868253707886, best=0.995100200176239, std=0.0004006702802143991
[2025-12-10 20:23:27] Geração 180 — mean=0.9943625330924988, best=0.995100200176239, std=0.003832330461591482
[2025-12-10 20:23:30] Geração 181 — mean=0.9927940964698792, best=0.995100200176239, std=0.0289412010461092
[2025-12-10 20:23:32] Geração 182 — mean=0.994630753993988, best=0.995100200176239, std=0.0004014865553472191
[2025-12-10 20:23:34] Geração 183 — mean=0.9945859909057617, best=0.995100200176239, std=0.0009506591013632715
[2025-12-10 20:23:37] Geração 184 — mean=0.9946463704109192, best=0.9951210618019104, std=0.0006847027689218521
[2025-12-10 20:23:39] Geração 185 — mean=0.9946689605712891, best=0.9951406717300415, std=0.00036780472146347165
[2025-12-10 20:23:42] Geração 186 — mean=0.9947041273117065, best=0.9951406717300415, std=0.00035372411366552114
[2025-12-10 20:23:44] Geração 187 — mean=0.9947431683540344, best=0.9951828122138977, std=0.00022070598788559437
[2025-12-10 20:23:46] Geração 188 — mean=0.994742214679718, best=0.9951828122138977, std=0.0002822747628670186
[2025-12-10 20:23:49] Geração 189 — mean=0.9947790503501892, best=0.9951897859573364, std=0.0002443389385007322
[2025-12-10 20:23:51] Geração 190 — mean=0.9947801828384399, best=0.9951897859573364, std=0.00026016030460596085
[2025-12-10 20:23:54] Geração 191 — mean=0.9947679042816162, best=0.9951897859573364, std=0.0004278705164324492
[2025-12-10 20:23:56] Geração 192 — mean=0.9948273301124573, best=0.9951897859573364, std=0.00021629607363138348
[2025-12-10 20:23:58] Geração 193 — mean=0.9946935176849365, best=0.9951897859573364, std=0.0017880165250971913
[2025-12-10 20:24:01] Geração 194 — mean=0.99480801820755, best=0.9951897859573364, std=0.0003274540067650378
[2025-12-10 20:24:03] Geração 195 — mean=0.9916889071464539, best=0.9951897859573364, std=0.04783499985933304
[2025-12-10 20:24:05] Geração 196 — mean=0.9948312044143677, best=0.9951897859573364, std=0.00025813531829044223
[2025-12-10 20:24:08] Geração 197 — mean=0.9948404431343079, best=0.9951897859573364, std=0.00027705414686352015
